coupon_bucket,implied_mbs_coupon,month,n_atrisk,n_prepay,smm,cpr
2.0,1.5,82022,465104,302,0.000649317141972548,0.007764039401500722
2.0,1.5,82023,450040,532,0.001182117145142654,0.014093539730731908
2.0,1.5,82024,434816,691,0.001589177951133353,0.01890433310994044
2.0,1.5,82025,417183,857,0.0020542543679871903,0.024374433355335068
2.0,1.5,92020,27620,0,0.0,0.0
2.0,1.5,92021,401562,54,0.00013447487561074007,0.0016125055316738024
2.0,1.5,92022,463355,334,0.0007208296014934554,0.008615744192416286
2.0,1.5,92023,448577,540,0.0012038067043116344,0.014350419265232506
2.0,1.5,92024,433247,709,0.0016364798832998267,0.01946196684815582
2.0,1.5,92025,415598,865,0.002081338216257056,0.024692122982220233
2.0,1.5,102020,52066,1,1.9206391887220068e-05,0.00023045235776320006
2.0,1.5,102021,437407,69,0.00015774781839339563,0.001891332315316796
2.0,1.5,102022,461895,358,0.000775067926693296,0.009261269176194076
2.0,1.5,102023,447356,552,0.0012339166122729995,0.01470692320244904
2.0,1.5,102024,431944,727,0.0016830885485155482,0.02001114359746492
2.0,1.5,112020,81149,1,1.2323010757988391e-05,0.00014786610697303804
2.0,1.5,112021,462306,80,0.00017304555856943236,0.0020745714878751542
2.0,1.5,112022,460598,373,0.0008098168033730063,0.009674635250740415
2.0,1.5,112023,446119,564,0.0012642366722780244,0.015065795914314117
2.0,1.5,112024,430404,739,0.0017169914777743702,0.020410435095078117
2.0,1.5,122020,106117,2,1.884712157335771e-05,0.00022614201623027963
2.0,1.5,122021,479764,100,0.00020843581427535204,0.0024983643603485595
2.0,1.5,122022,459559,387,0.0008421116766291162,0.010058667214693173
2.0,1.5,122023,445086,582,0.001307612461411952,0.015578989850498104
2.0,1.5,122024,429163,755,0.0017592383313566175,0.020907788395023386
2.5,2.0,12020,244,0,0.0,0.0
2.5,2.0,12021,673749,55,8.163277422304152e-05,0.0009791535922841765
2.5,2.0,12022,1360262,830,0.0006101765689256923,0.007297595918366984
2.5,2.0,12023,1294424,2222,0.0017165936354702942,0.02040575037516823
2.5,2.0,12024,1249004,3035,0.0024299361731427603,0.02877267047048293
2.5,2.0,12025,1200467,3546,0.0029538504598627035,0.03487597273113252
2.5,2.0,22020,460,0,0.0,0.0
2.5,2.0,22021,785825,76,9.6713644895492e-05,0.001159946604796569
2.5,2.0,22022,1353793,934,0.0006899134505792244,0.008247618822142644
2.5,2.0,22023,1291795,2342,0.0018129811618716593,0.02154014416393113
2.5,2.0,22024,1246064,3118,0.0025022791766715034,0.029617525230011377
2.5,2.0,22025,1197288,3609,0.003014312345901738,0.03557805169452788
2.5,2.0,32020,1391,0,0.0,0.0
2.5,2.0,32021,925599,107,0.000115600816336232,0.0013863281415936735
2.5,2.0,32022,1348027,1063,0.0007885598730589224,0.009421785601566923
2.5,2.0,32023,1288948,2431,0.0018860341922249772,0.02239910976300763
2.5,2.0,32024,1243230,3175,0.0025538315516839202,0.03021916635173949
2.5,2.0,32025,1193893,3676,0.0030790028922189844,0.036328715098998376
2.5,2.0,42020,13133,0,0.0,0.0
2.5,2.0,42021,1026107,156,0.00015203092854838726,0.0018228464307726844
2.5,2.0,42022,1340893,1230,0.0009172991431829385,0.010952224285868506
2.5,2.0,42023,1284906,2524,0.0019643460299819597,0.02331914130278634
2.5,2.0,42024,1239514,3206,0.0025864976111605034,0.030600218048406402
2.5,2.0,42025,1189741,3716,0.003123368867677923,0.03684322431430409
2.5,2.0,52020,33832,0,0.0,0.0
2.5,2.0,52021,1088590,208,0.00019107285571243535,0.0022904662193872216
2.5,2.0,52022,1334486,1345,0.001007878688873469,0.012027724913731497
2.5,2.0,52023,1281081,2586,0.0020186077226966915,0.02395615877169288
2.5,2.0,52024,1235334,3244,0.0026260104554719616,0.031060954517961648
2.5,2.0,52025,1185352,3732,0.003148431858215956,0.03713376680310476
2.5,2.0,62020,59688,0,0.0,0.0
2.5,2.0,62021,1135908,277,0.00024385777721435187,0.002922371718506289
2.5,2.0,62022,1328136,1473,0.001109073167205768,0.013227994527465703
2.5,2.0,62023,1276524,2634,0.0020634159639771757,0.024481908167654387
2.5,2.0,62024,1230587,3276,0.002662144163720241,0.03148211310849247
2.5,2.0,62025,1180543,3759,0.0031841279817846533,0.03754743509275993
2.5,2.0,72020,94617,1,1.0568925245991736e-05,0.0001268197308675889
2.5,2.0,72021,1166655,327,0.000280288517170886,0.0033582819782925766
2.5,2.0,72022,1321419,1592,0.0012047654831662024,0.014361773112910092
2.5,2.0,72023,1271433,2683,0.0021102173689057937,0.02503076680328764
2.5,2.0,72024,1226055,3299,0.002690743889955997,0.03181533994406682
2.5,2.0,72025,1175426,3789,0.0032235121564437065,0.03800365371893377
2.5,2.0,82020,152241,5,3.284266393415703e-05,0.000394040784724381
2.5,2.0,82021,1213954,390,0.0003212642324173733,0.003848366171814499
2.5,2.0,82022,1315910,1721,0.0013078402018375118,0.015581683679124714
2.5,2.0,82023,1267190,2746,0.0021669994239222217,0.025696292416518274
2.5,2.0,82024,1221232,3319,0.0027177473240137828,0.03212987127823008
2.5,2.0,82025,1170372,3815,0.003259647359984689,0.0384220625074847
2.5,2.0,92020,232844,10,4.2947209290340315e-05,0.0005152447943654881
2.5,2.0,92021,1261519,458,0.00036305438126575976,0.004347963734468219
2.5,2.0,92022,1310205,1834,0.0013997809503093028,0.016668653381456955
2.5,2.0,92023,1262523,2804,0.0022209496381452062,0.026328241036056133
2.5,2.0,92024,1216548,3368,0.002768489200590523,0.03272065053329587
2.5,2.0,92025,1165620,3853,0.0033055369674507987,0.03895317689946309
2.5,2.0,102020,340587,15,4.4041610513613263e-05,0.0005283713271673207
2.5,2.0,102021,1305654,540,0.0004135858351446861,0.004951756057166468
2.5,2.0,102022,1305271,1936,0.001483216895188815,0.017654122671554306
2.5,2.0,102023,1258673,2870,0.0022801792046067567,0.0270215969199894
2.5,2.0,102024,1212733,3406,0.002808532463452384,0.033186634222907574
2.5,2.0,112020,456363,25,5.4780952881806806e-05,0.0006571734078594238
2.5,2.0,112021,1338318,616,0.0004602792460386844,0.005509389822238808
2.5,2.0,112022,1301157,2008,0.0015432418993249855,0.018362523267404285
2.5,2.0,112023,1255122,2924,0.0023296540097297314,0.027600414209990043
2.5,2.0,112024,1208308,3437,0.0028444734289601657,0.033604704207446656
2.5,2.0,122020,557612,39,6.994110600202291e-05,0.0008389704912334928
2.5,2.0,122021,1368086,705,0.0005153184814404942,0.0061663253411219365
2.5,2.0,122022,1297701,2108,0.0016244111702156353,0.01931971863363724
2.5,2.0,122023,1252047,2968,0.0023705180396582557,0.02807825399562003
2.5,2.0,122024,1204448,3471,0.002881818061053694,0.03403892626741334
3.0,2.5,12020,17131,0,0.0,0.0
3.0,2.5,12021,2528136,1443,0.0005707762557077625,0.0068278540798970555
3.0,2.5,12022,4619675,7215,0.0015617981784432887,0.018581425212261804
3.0,2.5,12023,4338299,15899,0.0036648004206256877,0.04310191461176016
3.0,2.5,12024,4164976,21645,0.005196908697673168,0.060610906154487054
3.0,2.5,12025,3988578,25505,0.0063945095219399,0.07409209478820367
3.0,2.5,22020,35003,0,0.0,0.0
3.0,2.5,22021,2740696,1696,0.0006188209126440874,0.007400629017555116
3.0,2.5,22022,4588923,7992,0.0017415851170307281,0.02069999316318849
3.0,2.5,22023,4328845,16680,0.003853221817829005,0.045271216553989135
3.0,2.5,22024,4155178,22144,0.0053292542461478186,0.06210949060448079
3.0,2.5,22025,3977564,26013,0.006539932481287542,0.07571696421773777
3.0,2.5,32020,76715,0,0.0,0.0
3.0,2.5,32021,3020268,2088,0.0006913293787173853,0.008264481325723216
3.0,2.5,32022,4561521,8741,0.0019162467957508033,0.022754150798982353
3.0,2.5,32023,4317794,17399,0.004029604006119791,0.047297824577946845
3.0,2.5,32024,4144024,22508,0.005431435725275722,0.06326501963689068
3.0,2.5,32025,3966346,26376,0.00664994934884652,0.07694448989968683
3.0,2.5,42020,207562,0,0.0,0.0
3.0,2.5,42021,3279686,2508,0.0007647073530819719,0.009137991144127944
3.0,2.5,42022,4529390,9665,0.0021338414223548868,0.02530770792713033
3.0,2.5,42023,4302199,17977,0.004178560777871967,0.049006246026993106
3.0,2.5,42024,4130582,22898,0.005543528732754851,0.06453113297994162
3.0,2.5,42025,3952044,26679,0.006750683949875052,0.07806713685921507
3.0,2.5,52020,378387,0,0.0,0.0
3.0,2.5,52021,3501663,2957,0.0008444559056653938,0.010086538116355293
3.0,2.5,52022,4500978,10379,0.002305943286103598,0.027323056319978
3.0,2.5,52023,4287834,18441,0.004300772837754447,0.05040582813104921
3.0,2.5,52024,4115145,23224,0.00564354354463816,0.06565949617991129
3.0,2.5,52025,3936345,26855,0.0068223186737951065,0.07886471564706832
3.0,2.5,62020,588824,0,0.0,0.0
3.0,2.5,62021,3707819,3426,0.0009239933232986831,0.01103174466946999
3.0,2.5,62022,4474220,11303,0.002526250385542061,0.029897323363933026
3.0,2.5,62023,4269499,18898,0.004426280460541155,0.05184118587766029
3.0,2.5,62024,4097368,23465,0.005726847088179534,0.06659837101715793
3.0,2.5,62025,3919137,27049,0.006901774548835624,0.07974863500098994
3.0,2.5,72020,828484,157,0.00018950275442857075,0.002271664404267959
3.0,2.5,72021,3862877,3903,0.0010103868179079996,0.01205749004615253
3.0,2.5,72022,4446809,12026,0.0027044111856389602,0.03197454595106153
3.0,2.5,72023,4250251,19211,0.004519968350104499,0.05291134312627477
3.0,2.5,72024,4080651,23655,0.005796869176021179,0.06738688778128255
3.0,2.5,72025,3901271,27231,0.006980032917477407,0.08061847240922004
3.0,2.5,82020,1139607,331,0.0002904510063556998,0.0034798495854517775
3.0,2.5,82021,4055696,4293,0.0010585112888145463,0.012628446320675613
3.0,2.5,82022,4423934,12737,0.0028791116684833,0.03400746389177245
3.0,2.5,82023,4233526,19547,0.004617191438058961,0.05402071070375691
3.0,2.5,82024,4062850,23867,0.0058744477398870254,0.06825978476909289
3.0,2.5,82025,3883223,27444,0.007067325260485942,0.08158783270175052
3.0,2.5,92020,1397126,522,0.00037362413984136004,0.004474287872929583
3.0,2.5,92021,4211074,4729,0.0011229914268901472,0.013392974661080581
3.0,2.5,92022,4400521,13434,0.0030528203365010644,0.03602495956997942
3.0,2.5,92023,4215627,19946,0.004731443270479101,0.05532286294017652
3.0,2.5,92024,4045897,24169,0.005973706201616106,0.06937552710552952
3.0,2.5,92025,3866672,27645,0.007149559104056408,0.08250016247483039
3.0,2.5,102020,1686976,753,0.0004463608255244888,0.0053431997445927415
3.0,2.5,102021,4365625,5314,0.0012172369362920543,0.014509448989252771
3.0,2.5,102022,4380455,14024,0.003201493908737791,0.03774862305552762
3.0,2.5,102023,4201165,20365,0.004847464929370782,0.056643504644594556
3.0,2.5,102024,4031746,24421,0.00605717721304864,0.07031285803925624
3.0,2.5,112020,2018882,932,0.00046164164126481885,0.005525655858390599
3.0,2.5,112021,4507495,5844,0.0012965072617939677,0.015447623749172634
3.0,2.5,112022,4363963,14552,0.0033345837258473548,0.039289217544485444
3.0,2.5,112023,4187545,20762,0.004958036271849019,0.05790053173335297
3.0,2.5,112024,4016062,24696,0.006149307455910791,0.0713464223182616
3.0,2.5,122020,2280095,1171,0.0005135750922658925,0.006145522755260369
3.0,2.5,122021,4658285,6476,0.0013902112043380772,0.016555566358029794
3.0,2.5,122022,4350584,15060,0.003461604235201527,0.040757447146928305
3.0,2.5,122023,4175969,21182,0.00507235566164404,0.059198553867023884
3.0,2.5,122024,4002472,24998,0.006245640194359885,0.07242600579960212
3.5,3.0,12020,43966,0,0.0,0.0
3.5,3.0,12021,1041470,3728,0.003579555820138842,0.042119006965247396
3.5,3.0,12022,1349857,8542,0.006328077714898689,0.0733489544612248
3.5,3.0,12023,1231110,12498,0.010151814216438824,0.11524485420245201
3.5,3.0,12024,1169899,15306,0.013083180684828348,0.14617944695948415
3.5,3.0,12025,1109520,17076,0.015390439108803807,0.16982704076496902
3.5,3.0,22020,88926,0,0.0,0.0
3.5,3.0,22021,1045307,4138,0.003958645641902331,0.04648299693524549
3.5,3.0,22022,1334228,8931,0.006693758488054515,0.07743287918297492
3.5,3.0,22023,1227666,12819,0.010441765105492861,0.11834984724003017
3.5,3.0,22024,1166469,15544,0.013325686323425654,0.14869366126420758
3.5,3.0,22025,1105742,17337,0.015679064374872258,0.17274258781627538
3.5,3.0,32020,189609,0,0.0,0.0
3.5,3.0,32021,1054678,4584,0.004346350260458642,0.050927300792577346
3.5,3.0,32022,1320984,9238,0.006993271682321663,0.08076554598858843
