cohort,refi_bin,n_atrisk,n_prepay,smm,cpr
pre2020,<-1.5,159927183,2369,1.481e-05,0.000178
pre2020,-1.5..-1,50883023,11670,0.00022935,0.002749
pre2020,-1..-0.5,97489759,47498,0.00048721,0.005831
pre2020,-0.5..0,139689338,103096,0.00073804,0.008821
pre2020,0..0.5,148915225,215644,0.0014481,0.017239
pre2020,0.5..1,123134811,107312,0.0008715,0.010408
pre2020,1..1.5,68569031,25199,0.0003675,0.004401
pre2020,1.5..2,29948548,1992,6.651e-05,0.000798
pre2020,>2,12947509,40,3.09e-06,3.7e-05
