coupon_bucket,implied_mbs_coupon,month,n_atrisk,n_prepay,smm,cpr,date
1.5,1.0,12022,24,0,0.0,0.0,2022-01-01
1.5,1.0,12023,26,0,0.0,0.0,2023-01-01
1.5,1.0,12024,26,0,0.0,0.0,2024-01-01
1.5,1.0,12025,25,0,0.0,0.0,2025-01-01
1.5,1.0,22022,24,0,0.0,0.0,2022-02-01
1.5,1.0,22023,26,0,0.0,0.0,2023-02-01
1.5,1.0,22024,26,0,0.0,0.0,2024-02-01
1.5,1.0,22025,25,0,0.0,0.0,2025-02-01
1.5,1.0,32021,4,0,0.0,0.0,2021-03-01
1.5,1.0,32022,24,0,0.0,0.0,2022-03-01
1.5,1.0,32023,26,0,0.0,0.0,2023-03-01
1.5,1.0,32024,26,0,0.0,0.0,2024-03-01
1.5,1.0,32025,25,0,0.0,0.0,2025-03-01
1.5,1.0,42021,4,0,0.0,0.0,2021-04-01
1.5,1.0,42022,26,0,0.0,0.0,2022-04-01
1.5,1.0,42023,26,0,0.0,0.0,2023-04-01
1.5,1.0,42024,26,0,0.0,0.0,2024-04-01
1.5,1.0,42025,25,0,0.0,0.0,2025-04-01
1.5,1.0,52021,5,0,0.0,0.0,2021-05-01
1.5,1.0,52022,26,0,0.0,0.0,2022-05-01
1.5,1.0,52023,26,0,0.0,0.0,2023-05-01
1.5,1.0,52024,26,0,0.0,0.0,2024-05-01
1.5,1.0,52025,25,0,0.0,0.0,2025-05-01
1.5,1.0,62021,5,0,0.0,0.0,2021-06-01
1.5,1.0,62022,26,0,0.0,0.0,2022-06-01
1.5,1.0,62023,26,0,0.0,0.0,2023-06-01
1.5,1.0,62024,26,0,0.0,0.0,2024-06-01
1.5,1.0,62025,25,0,0.0,0.0,2025-06-01
1.5,1.0,72021,5,0,0.0,0.0,2021-07-01
1.5,1.0,72022,26,0,0.0,0.0,2022-07-01
1.5,1.0,72023,26,0,0.0,0.0,2023-07-01
1.5,1.0,72024,25,0,0.0,0.0,2024-07-01
1.5,1.0,72025,25,0,0.0,0.0,2025-07-01
1.5,1.0,82021,9,0,0.0,0.0,2021-08-01
1.5,1.0,82022,26,0,0.0,0.0,2022-08-01
1.5,1.0,82023,26,0,0.0,0.0,2023-08-01
1.5,1.0,82024,25,0,0.0,0.0,2024-08-01
1.5,1.0,82025,25,0,0.0,0.0,2025-08-01
1.5,1.0,92021,18,0,0.0,0.0,2021-09-01
1.5,1.0,92022,26,0,0.0,0.0,2022-09-01
1.5,1.0,92023,26,0,0.0,0.0,2023-09-01
1.5,1.0,92024,25,0,0.0,0.0,2024-09-01
1.5,1.0,92025,25,0,0.0,0.0,2025-09-01
1.5,1.0,102021,19,0,0.0,0.0,2021-10-01
1.5,1.0,102022,26,0,0.0,0.0,2022-10-01
1.5,1.0,102023,26,0,0.0,0.0,2023-10-01
1.5,1.0,102024,25,0,0.0,0.0,2024-10-01
1.5,1.0,102025,4,0,0.0,0.0,2025-10-01
1.5,1.0,112021,21,0,0.0,0.0,2021-11-01
1.5,1.0,112022,26,0,0.0,0.0,2022-11-01
1.5,1.0,112023,26,0,0.0,0.0,2023-11-01
1.5,1.0,112024,25,0,0.0,0.0,2024-11-01
1.5,1.0,112025,4,0,0.0,0.0,2025-11-01
1.5,1.0,122021,23,0,0.0,0.0,2021-12-01
1.5,1.0,122022,26,0,0.0,0.0,2022-12-01
1.5,1.0,122023,26,0,0.0,0.0,2023-12-01
1.5,1.0,122024,25,0,0.0,0.0,2024-12-01
1.5,1.0,122025,4,0,0.0,0.0,2025-12-01
2.0,1.5,12020,27,0,0.0,0.0,2020-01-01
2.0,1.5,12021,135867,0,0.0,0.0,2021-01-01
2.0,1.5,12022,490212,0,0.0,0.0,2022-01-01
2.0,1.5,12023,483271,0,0.0,0.0,2023-01-01
2.0,1.5,12024,468122,0,0.0,0.0,2024-01-01
2.0,1.5,12025,451027,0,0.0,0.0,2025-01-01
2.0,1.5,22020,27,0,0.0,0.0,2020-02-01
2.0,1.5,22021,175731,16,9.105e-05,0.00109203,2021-02-01
2.0,1.5,22022,495979,8,1.613e-05,0.00019354,2022-02-01
2.0,1.5,22023,482397,0,0.0,0.0,2023-02-01
2.0,1.5,22024,467089,0,0.0,0.0,2024-02-01
2.0,1.5,22025,449818,0,0.0,0.0,2025-02-01
2.0,1.5,32020,27,0,0.0,0.0,2020-03-01
2.0,1.5,32021,230872,68,0.00029454,0.00352871,2021-03-01
2.0,1.5,32022,497922,17,3.414e-05,0.00040963,2022-03-01
2.0,1.5,32023,481492,0,0.0,0.0,2023-03-01
2.0,1.5,32024,466065,0,0.0,0.0,2024-03-01
2.0,1.5,32025,448575,0,0.0,0.0,2025-03-01
2.0,1.5,42020,91,0,0.0,0.0,2020-04-01
2.0,1.5,42021,270631,135,0.00049883,0.00596961,2021-04-01
2.0,1.5,42022,496893,37,7.446e-05,0.00089319,2022-04-01
2.0,1.5,42023,480168,0,0.0,0.0,2023-04-01
2.0,1.5,42024,464763,0,0.0,0.0,2024-04-01
2.0,1.5,42025,447081,0,0.0,0.0,2025-04-01
2.0,1.5,52020,544,0,0.0,0.0,2020-05-01
2.0,1.5,52021,295300,220,0.00074501,0.00890352,2021-05-01
2.0,1.5,52022,495320,36,7.268e-05,0.00087181,2022-05-01
2.0,1.5,52023,479006,0,0.0,0.0,2023-05-01
2.0,1.5,52024,463354,0,0.0,0.0,2024-05-01
2.0,1.5,52025,445464,0,0.0,0.0,2025-05-01
2.0,1.5,62020,1456,0,0.0,0.0,2020-06-01
2.0,1.5,62021,318722,421,0.0013209,0.01573615,2021-06-01
2.0,1.5,62022,493608,44,8.914e-05,0.00106915,2022-06-01
